Indicator,Group,Subgroup,Time Period Label,Time Period Start Date,Time Period End Date,Value
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,27.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,21.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,18 - 29 years,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,18.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,30 - 39 years,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,15.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,40 - 49 years,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,50 - 59 years,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,60 - 69 years,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,70 - 79 years,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,3.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,80 years and above,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,Male,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,Female,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,2.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,23.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,16.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Less than a high school diploma,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,High school diploma or GED,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Some college/Associate's degree,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Bachelor's degree or higher,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,14.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,13.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,7.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,5.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,12.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,4.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,11.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,"Oct 14 - Oct 26, 2020",10/14/2020,10/26/2020,9.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,18 - 29 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,30 - 39 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,40 - 49 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,50 - 59 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,60 - 69 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,70 - 79 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,80 years and above,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,13.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,Male,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,15.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,Female,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,11.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,33.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,16.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Less than a high school diploma,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,15.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,High school diploma or GED,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Some college/Associate's degree,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Bachelor's degree or higher,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,17.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,13.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,26.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,27.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,27.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,19.4
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,18 - 29 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.8
"Received Counseling or Therapy, Last 4 Weeks",By Age,30 - 39 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,14.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,40 - 49 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,10.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,50 - 59 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,60 - 69 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,6.3
"Received Counseling or Therapy, Last 4 Weeks",By Age,70 - 79 years,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,3.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,80 years and above,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,2.9
"Received Counseling or Therapy, Last 4 Weeks",By Sex,Male,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,7.6
"Received Counseling or Therapy, Last 4 Weeks",By Sex,Female,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,11.8
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,5.0
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,16.6
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.5
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,10.0
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,6.0
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,12.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,7.8
"Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,6.5
"Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,11.0
"Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,12.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,13.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,California,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,10.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,13.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,20.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,7.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,8.5
